epoch,train,val,val_r2
1,0.9984627021956689,0.9464820623397827,0.02113497257232666
2,0.5574122432657739,0.06358135491609573,0.9342432618141174
3,0.06106962745567573,0.03965480998158455,0.9589884281158447
4,0.04263817232831852,0.03851546347141266,0.9601667523384094
5,0.039795448753944376,0.03627871721982956,0.9624800682067871
6,0.03758479261137161,0.03408060967922211,0.9647533297538757
7,0.03556733927929524,0.041120462119579315,0.9574726223945618
8,0.03430262737974678,0.032667700201272964,0.9662145972251892
9,0.0352192578126782,0.04350702837109566,0.9550043940544128
10,0.03456652373766776,0.031794335693120956,0.9671178460121155
11,0.035509237923572974,0.04080674424767494,0.957797110080719
12,0.03479685770712562,0.030634677037596703,0.9683172106742859
13,0.03251687592836385,0.029834426939487457,0.9691448211669922
14,0.03087234493229807,0.03187646344304085,0.9670329093933105
15,0.029402932814639255,0.029079504311084747,0.969925582408905
16,0.028097588098463938,0.028185617178678513,0.9708500504493713
17,0.027629316035542906,0.030036576092243195,0.9689357280731201
18,0.024669061846954308,0.02425985410809517,0.9749101400375366
19,0.02324913242428573,0.022670364007353783,0.9765539765357971
20,0.020927222335192654,0.023116961121559143,0.9760921001434326
21,0.019958242697199594,0.01931166648864746,0.9800276160240173
22,0.020633450690080823,0.021155918017029762,0.9781202673912048
23,0.019619870796492418,0.01642492786049843,0.9830130934715271
24,0.01767587175919223,0.02071324922144413,0.9785780906677246
25,0.018245211283954763,0.017738360911607742,0.9816547632217407
26,0.017034236908189414,0.016571830958127975,0.9828611612319946
27,0.01628244198743523,0.018361134454607964,0.9810106754302979
28,0.015736492024254554,0.016439076513051987,0.9829984903335571
29,0.016630421056575383,0.01580287516117096,0.9836564660072327
30,0.015725733491486496,0.013576202094554901,0.9859592914581299
31,0.013847196143427767,0.013594980351626873,0.9859398603439331
32,0.015488447071792385,0.013534283265471458,0.9860026836395264
33,0.014199924266407477,0.015272124670445919,0.9842053651809692
34,0.01359420532322268,0.013835855759680271,0.9856907725334167
35,0.014148659039211949,0.014291510917246342,0.9852195382118225
36,0.012170196798889293,0.013913643546402454,0.98561030626297
37,0.011733290547332199,0.013066170737147331,0.9864867925643921
38,0.011878037969245739,0.01147116906940937,0.988136351108551
39,0.010978215537274006,0.011481823399662971,0.9881253242492676
40,0.010864883041988635,0.012071376666426659,0.9875156283378601
41,0.010191789410585902,0.011411855928599834,0.9881976842880249
42,0.010734049560137323,0.012323819100856781,0.9872545599937439
43,0.010005979117044468,0.012482231482863426,0.9870907068252563
44,0.009804146513150832,0.010697303339838982,0.988936722278595
45,0.009646283577858787,0.013638957403600216,0.9858943819999695
46,0.009176813670885317,0.01253539975732565,0.9870356917381287
47,0.009001529117873342,0.011024369858205318,0.9885984659194946
48,0.008822735927077299,0.010454335249960423,0.9891879558563232
49,0.00918094037801565,0.015322246588766575,0.9841535091400146
50,0.010641920025047567,0.013967882841825485,0.9855542182922363
51,0.008556864003545231,0.010844046249985695,0.988784909248352
52,0.008208607184249409,0.009762031026184559,0.98990398645401
53,0.008043173172501559,0.010488186962902546,0.9891529679298401
54,0.00801668664891772,0.010390027426183224,0.9892544746398926
55,0.007717446740908721,0.010013777762651443,0.9896436333656311
56,0.007744001795912219,0.011704952456057072,0.987894594669342
57,0.0076058346912572065,0.009579535573720932,0.9900926947593689
58,0.007559678483677586,0.009796028956770897,0.9898688197135925
59,0.007513543562099491,0.008862730115652084,0.9908340573310852
60,0.007423936876650785,0.009720898233354092,0.9899464845657349
61,0.007262837256967407,0.010021168738603592,0.9896359443664551
62,0.007034272574771618,0.010296338237822056,0.9893513917922974
63,0.00692056474928773,0.010159723460674286,0.989492654800415
64,0.007231929449883011,0.009407181292772293,0.9902709722518921
65,0.00692615433135214,0.009915160946547985,0.9897456169128418
66,0.0069975133879667094,0.010551425628364086,0.9890875816345215
67,0.006928435601198028,0.010463489219546318,0.9891785383224487
68,0.006786638469982547,0.009553477168083191,0.9901196360588074
69,0.006424214794137275,0.009640508331358433,0.9900296330451965
70,0.006757761236549038,0.009916604496538639,0.9897441267967224
71,0.006702957821280225,0.00929560698568821,0.9903863668441772
72,0.006414223399935002,0.009200758300721645,0.9904844760894775
73,0.00625055836820879,0.009569454938173294,0.9901031255722046
74,0.006198767363813888,0.009183607064187527,0.9905021786689758
