model,split,rg,ree,nu,delta,a0
IDP-ESM2-8M,bender_test,0.07902377843856812,0.14470750093460083,0.6497586965560913,-0.02367985248565674,0.5510603189468384
IDP-ESM2-8M,ood_viruses,0.11126118898391724,0.15994364023208618,0.42074328660964966,0.05026930570602417,0.44375914335250854
IDP-ESM2-150M,bender_test,0.04532933235168457,0.10815185308456421,0.574549674987793,-0.03167128562927246,0.48704224824905396
IDP-ESM2-150M,ood_viruses,0.10959279537200928,0.1438477635383606,0.5082893371582031,0.07157987356185913,0.47079718112945557
