rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity,model,seed,temperature_K,n
0.9374035000801086,0.911294162273407,0.8799749612808228,0.8566282391548157,0.804206132888794,0.9780441522598267,0.46338748931884766,0.8664088845252991,0.8433032035827637,0.851958692073822,KESTREL,42,278,1025
0.9388543963432312,0.9196869730949402,0.8971858024597168,0.8634841442108154,0.8086814284324646,0.9772263765335083,0.371044397354126,0.8643604516983032,0.8486523628234863,0.8519577980041504,KESTREL,42,288,1025
0.3677796721458435,0.35819119215011597,0.5792398452758789,0.5342310667037964,0.5491995811462402,0.41403841972351074,0.36987411975860596,0.489254891872406,0.5003845691680908,0.3972069025039673,KESTREL,42,300,1025
0.9379714727401733,0.9217678904533386,0.8855673670768738,0.8499455451965332,0.7863534688949585,0.9762299060821533,0.44411420822143555,0.8372940421104431,0.825980544090271,0.8534124493598938,KESTREL,42,310,1025
0.813202440738678,0.8100910782814026,0.8645905256271362,0.8386448621749878,0.7637611627578735,0.9035097360610962,0.4012189507484436,0.8071249723434448,0.7901601791381836,0.8029395341873169,KESTREL,42,320,1025
0.9484215974807739,0.9213323593139648,0.88408362865448,0.8656927347183228,0.8050567507743835,0.9800543785095215,0.43885910511016846,0.8570609092712402,0.8377532958984375,0.8494714498519897,KESTREL,67,278,1025
0.9493786096572876,0.928629994392395,0.8929873108863831,0.8660325407981873,0.7987037301063538,0.9797778725624084,0.2755861282348633,0.862328290939331,0.8474706411361694,0.8494968414306641,KESTREL,67,288,1025
0.3626735806465149,0.3490835428237915,0.5581966042518616,0.51777184009552,0.534275233745575,0.43169599771499634,0.30548202991485596,0.48325449228286743,0.49022233486175537,0.389728844165802,KESTREL,67,300,1025
0.9418830275535583,0.9216260313987732,0.8754526376724243,0.8418647050857544,0.7834780812263489,0.9788302779197693,0.4385337829589844,0.8443087339401245,0.8341863751411438,0.8526760339736938,KESTREL,67,310,1025
0.7969258427619934,0.7901204824447632,0.8505252003669739,0.8263270258903503,0.7545117139816284,0.9064995050430298,0.4319073557853699,0.8154588341712952,0.7981517314910889,0.8033108711242676,KESTREL,67,320,1025
0.9424862265586853,0.9205697774887085,0.8342587351799011,0.8282396793365479,0.6929504871368408,0.9792513847351074,0.42584383487701416,0.8645743131637573,0.8453551530838013,0.8338006138801575,KESTREL,93,278,1025
0.942043125629425,0.9277240633964539,0.8612266778945923,0.8400719165802002,0.705254077911377,0.9786177277565002,0.3900414705276489,0.8662589192390442,0.8524741530418396,0.8323654532432556,KESTREL,93,288,1025
0.37817883491516113,0.36849111318588257,0.5563172101974487,0.5187450647354126,0.48596155643463135,0.4396473169326782,0.35740554332733154,0.5009756684303284,0.49611347913742065,0.3835958242416382,KESTREL,93,300,1025
0.9349433183670044,0.9228107929229736,0.862363874912262,0.8358500599861145,0.7035637497901917,0.9749132990837097,0.43490952253341675,0.8363628387451172,0.8338297605514526,0.8374603390693665,KESTREL,93,310,1025
0.8151501417160034,0.8167328834533691,0.8451082706451416,0.824161171913147,0.6716650724411011,0.9046185612678528,0.4165213704109192,0.8128727078437805,0.8039014935493469,0.7930550575256348,KESTREL,93,320,1025
