model,seed,temperature_K,n,target,r2
KESTREL,93,278,1025,delta,0.8282396793365479
KESTREL,93,278,1025,a0,0.6929504871368408
KESTREL,93,278,1025,global_efficiency,0.9792513847351074
KESTREL,93,278,1025,fragmentation_index,0.42584383487701416
KESTREL,93,278,1025,avg_clustering,0.8645743131637573
KESTREL,93,278,1025,transitivity,0.8453551530838013
KESTREL,93,278,1025,degree_assortativity,0.8338006138801575
KESTREL,93,288,1025,rg,0.942043125629425
KESTREL,93,288,1025,ree,0.9277240633964539
KESTREL,93,288,1025,nu,0.8612266778945923
KESTREL,93,288,1025,delta,0.8400719165802002
KESTREL,93,288,1025,a0,0.705254077911377
KESTREL,93,288,1025,global_efficiency,0.9786177277565002
KESTREL,93,288,1025,fragmentation_index,0.3900414705276489
KESTREL,93,288,1025,avg_clustering,0.8662589192390442
KESTREL,93,288,1025,transitivity,0.8524741530418396
KESTREL,93,288,1025,degree_assortativity,0.8323654532432556
KESTREL,93,300,1025,rg,0.37817883491516113
KESTREL,93,300,1025,ree,0.36849111318588257
KESTREL,93,300,1025,nu,0.5563172101974487
KESTREL,93,300,1025,delta,0.5187450647354126
KESTREL,93,300,1025,a0,0.48596155643463135
KESTREL,93,300,1025,global_efficiency,0.4396473169326782
KESTREL,93,300,1025,fragmentation_index,0.35740554332733154
KESTREL,93,300,1025,avg_clustering,0.5009756684303284
KESTREL,93,300,1025,transitivity,0.49611347913742065
KESTREL,93,300,1025,degree_assortativity,0.3835958242416382
KESTREL,93,310,1025,rg,0.9349433183670044
KESTREL,93,310,1025,ree,0.9228107929229736
KESTREL,93,310,1025,nu,0.862363874912262
KESTREL,93,310,1025,delta,0.8358500599861145
KESTREL,93,310,1025,a0,0.7035637497901917
KESTREL,93,310,1025,global_efficiency,0.9749132990837097
KESTREL,93,310,1025,fragmentation_index,0.43490952253341675
KESTREL,93,310,1025,avg_clustering,0.8363628387451172
KESTREL,93,310,1025,transitivity,0.8338297605514526
KESTREL,93,310,1025,degree_assortativity,0.8374603390693665
KESTREL,93,320,1025,rg,0.8151501417160034
KESTREL,93,320,1025,ree,0.8167328834533691
KESTREL,93,320,1025,nu,0.8451082706451416
KESTREL,93,320,1025,delta,0.824161171913147
KESTREL,93,320,1025,a0,0.6716650724411011
KESTREL,93,320,1025,global_efficiency,0.9046185612678528
KESTREL,93,320,1025,fragmentation_index,0.4165213704109192
KESTREL,93,320,1025,avg_clustering,0.8128727078437805
KESTREL,93,320,1025,transitivity,0.8039014935493469
KESTREL,93,320,1025,degree_assortativity,0.7930550575256348
IDP-ESM2-8M,42,278,1025,rg,0.8915161490440369
IDP-ESM2-8M,42,278,1025,ree,0.8678140640258789
IDP-ESM2-8M,42,278,1025,nu,0.7234063148498535
IDP-ESM2-8M,42,278,1025,delta,0.7554960250854492
IDP-ESM2-8M,42,278,1025,a0,0.4829026460647583
IDP-ESM2-8M,42,288,1025,rg,0.8920066952705383
IDP-ESM2-8M,42,288,1025,ree,0.8714561462402344
