epoch,train,val,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
1,0.7931712540713224,0.6317346692085266,0.8608796093985872,0.7283087738072422,0.0770105403490714,0.14000065071495416,0.09011326467907366,0.8213724757650082,-0.010053304746810321,0.00664757349309808,0.1258766256017445,0.7485405920936552
2,0.6239164742556486,0.6221449971199036,0.8608553101165085,0.6988630012835721,0.07562499179306703,0.14799340948078987,0.08790115862233505,0.8757938308460197,0.011771160893683463,0.01085051997562203,0.14901634689378718,0.7631553440237979
3,0.6627440290017561,0.5981589555740356,0.8401485021658797,0.7023439187856089,0.1268699397826143,0.1546646582632395,0.12903152123339412,0.8747373466501146,0.05452270117738234,0.06534193112593378,0.18231449228872054,0.7813871101591755
4,0.5882478789849714,0.5917632579803467,0.8461863106878118,0.7052237377461539,0.11535117692434904,0.13179391866502277,0.11349796176377269,0.891340742964178,0.053715095620694875,0.11881636028780573,0.23974368977450045,0.7775455018567272
5,0.5329762534661726,0.5023249387741089,0.7820149600917256,0.6591159493982794,0.24334902507525769,0.26397384330408624,0.27814516564633474,0.8656585786591262,0.09504339185563393,0.40655266470302787,0.48090059745885616,0.7405660270348735
6,0.45945470983331854,0.4412921965122223,0.7882724722037471,0.6658263407173696,0.3879548979908738,0.3524269623624726,0.39546557839794905,0.9172062345397753,0.12062262669598978,0.48266171877286357,0.507123627709191,0.7901415867278827
7,0.3913402421907945,0.45790261030197144,0.7933348497263066,0.683144981428573,0.4680951046087253,0.3569255358739105,0.4463194854748028,0.9217427608715604,0.10690984116815683,0.2746418710492101,0.4331664904896797,0.7364753234609704
8,0.3506937101483345,0.4097786545753479,0.8149364006636722,0.6785597413460285,0.42807611693932945,0.3658102821053546,0.41175419449578665,0.9372672262633812,0.15153928738660305,0.593290656629996,0.5926623825976745,0.7755942555636648
9,0.346659010106867,0.45518675446510315,0.7406586268745462,0.60991006030633,0.42929762878801014,0.34875271215861714,0.4436037059745931,0.8909280622695118,0.08513038410014506,0.4263194102990858,0.4373758609794792,0.7843289808964239
10,0.34853209826079284,0.3892369866371155,0.7799147730255671,0.6583307890774401,0.5409332630522053,0.4495405852773573,0.49563058340125965,0.9020764376773243,0.1451314453061041,0.5778782585865828,0.6211270555345048,0.7284461412012755
11,0.31948121840303595,0.3901135325431824,0.8012462222918575,0.6862836507932073,0.5205319369106652,0.3776753015149491,0.49853787920344417,0.9386125602937668,0.0433374626916162,0.6366346829616722,0.6273520429135162,0.7852698940461129
12,0.30611676655032416,0.41157838702201843,0.7807919387963138,0.6684412492309202,0.5438039325618123,0.44736318215758786,0.48487643797009106,0.9113378888540324,0.10047581649465676,0.4349052913191719,0.5002289650532157,0.7973333761348427
13,0.3533302762291648,0.35764163732528687,0.8201893528232704,0.7040074727064267,0.5596954159040227,0.4711453289872778,0.4991989712133179,0.9431563936568497,0.08313529368389017,0.6962149897395808,0.6847480772815284,0.801506430877724
14,0.29383373937823554,0.3327520787715912,0.855097169729308,0.7552070678185754,0.5807580167176764,0.4860841618085072,0.5186900532330035,0.950059883601602,0.1457453460154552,0.7235282320666043,0.7372274493472253,0.8019541161066011
15,0.2912326549941843,0.3629876673221588,0.8192107175229644,0.7096989351448343,0.5491208001476686,0.45683738437123467,0.49202677847329257,0.9199555957556927,0.13681586535414192,0.6576854239802936,0.6779302509270597,0.7949175575188514
16,0.3037606328725815,0.33859482407569885,0.8293281235735515,0.7244406868973798,0.5977895904466626,0.5100883141814727,0.5373573471550668,0.9538690160670175,0.1267389846880328,0.6908541054429853,0.6849928965018619,0.8022389989728391
17,0.30696581439538434,0.425291508436203,0.7963576432655797,0.6689165537865523,0.504693142831707,0.3797011592890568,0.521981206251848,0.9496165755629852,-0.12375665990703766,0.5237119694147365,0.4998557686428843,0.799234797702046
18,0.30246737599372864,0.39689937233924866,0.751504721142844,0.6465674762693834,0.5694557899098824,0.4460079671878975,0.529696695076076,0.9223860757567247,-0.09693873354292615,0.6285229060914486,0.6278004427055,0.7577710975528764
19,0.295483181422407,0.40893131494522095,0.789408489762944,0.6729508349683082,0.5451308771998842,0.43856063949002677,0.5353915941455403,0.9260470687122416,-0.21884963649594025,0.6322855580312721,0.6091337342360923,0.7473171214206538
20,0.3038996837355874,0.4023812413215637,0.8013163453992417,0.7078854432576938,0.5783519460463444,0.4347090187021345,0.55558809110828,0.907169816058886,-0.018607598118590918,0.5064590093424044,0.508911674949621,0.7781833405854609
21,0.28331464529037476,0.4632421135902405,0.754356409656185,0.6362936835309372,0.4984676703349077,0.3147305532907093,0.5399830377166728,0.9022939902829152,-0.40608610898694253,0.5777968681420245,0.5444866153420946,0.7196466749185244
22,0.3160329230807044,0.3428971469402313,0.8652898652420453,0.7753247269182558,0.5879279618937086,0.48496152649544266,0.5112217832993333,0.9426426915887541,0.15062938435372064,0.6586559521182427,0.6915210428741825,0.7933350056897939
23,0.2901507087729194,0.3433896005153656,0.811637259388461,0.6945832162207919,0.618570675402693,0.502176793074935,0.5707601403656914,0.9349967532202421,0.08358265688244826,0.6638414112823925,0.6849560518920592,0.8092424781395787
24,0.2699124352498488,0.34128329157829285,0.7709553386394855,0.6557040250037617,0.6323125887402996,0.5510970642602564,0.5915429781961135,0.9002152250163289,0.0814280959384669,0.6945709907194553,0.7087882202706697,0.7627432762426607
25,0.25668144767934625,0.3225594460964203,0.807564128510603,0.7207213836599533,0.6596685177909138,0.5513651790381898,0.5844809537141885,0.9368676419601698,0.11215232615573945,0.7198795707291394,0.7073694801223727,0.7912857546997658
26,0.27667211402546277,0.3198592960834503,0.828249330649503,0.7197564420662627,0.6544033084734572,0.5598555820135798,0.5902657767997146,0.9465355883962359,0.06965288021881333,0.7251323742327584,0.7226555694622028,0.8082340449715228
