condition,seed,n_train,n_kingdoms,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
A_bacteria_only,67,2565,1,0.8681114372455885,0.8279063460665742,0.6023347700729937,0.6985403796887442,0.2826104441802747,0.9575912539106582,0.282330508282286,0.8301703482986458,0.8114582265654916,0.8169556886548266
B_matched_multitaxon,67,2565,5,0.9101753643427357,0.8757218452032531,0.6488566271978224,0.7308667404255145,0.388007286099165,0.9636777084191143,0.41625445448312803,0.8315939544161657,0.8115267984015128,0.8392347008441542
C_full_bender,67,8323,5,0.932256921126998,0.9152718793024691,0.8779759827365543,0.8539099362819079,0.7878874618665014,0.9809740194462829,0.44085723753718686,0.8576974260763932,0.8440191411305741,0.8448747174702202
