epoch,train,val,val_r2
1,0.9993616155127889,0.9549749493598938,0.0055234432220458984
2,0.9682911121353661,0.927678644657135,0.03394877910614014
3,0.7618766307216329,0.49474990367889404,0.48478519916534424
4,0.39151172793095873,0.20194050669670105,0.7897064089775085
5,0.26742625943164233,0.13231441378593445,0.8622125387191772
6,0.24042666488394296,0.1374889314174652,0.8568239808082581
7,0.18265267707330665,0.14298886060714722,0.851096510887146
8,0.1746592198104895,0.12256723642349243,0.8723628520965576
9,0.16677403611313438,0.15645729005336761,0.8370710015296936
10,0.19387875643280364,0.11104819923639297,0.8843584060668945
11,0.19296099518224136,0.10416196286678314,0.8915294408798218
12,0.171321250248662,0.10657159239053726,0.8890202045440674
13,0.17436605327061772,0.1174401119351387,0.8777021169662476
14,0.15526962280273438,0.16341270506381989,0.8298279047012329
15,0.16424160274033694,0.10087806731462479,0.894949197769165
16,0.14847430709711054,0.12267056107521057,0.8722553253173828
17,0.1537511926528412,0.17760823667049408,0.815045177936554
18,0.15400735227410325,0.14283880591392517,0.8512527942657471
19,0.1423179231507262,0.10139179229736328,0.8944142460823059
20,0.1468348448961666,0.16314414143562317,0.830107569694519
21,0.14603481314999542,0.12409744411706924,0.8707693815231323
22,0.1459712692219572,0.12201991677284241,0.8729328513145447
23,0.137162748244159,0.10782019793987274,0.8877199292182922
24,0.1463655710181932,0.10077114403247833,0.8950605392456055
25,0.13231728394928666,0.10512109100818634,0.8905307054519653
26,0.13217617972686732,0.10633541643619537,0.8892661333084106
27,0.12986293292998038,0.10896621644496918,0.8865265250205994
28,0.13186434512362652,0.11022191494703293,0.8852188587188721
29,0.13395919664234845,0.10131146013736725,0.8944978713989258
30,0.1263182957455055,0.10608070343732834,0.8895313739776611
31,0.12698405103508345,0.10440222173929214,0.8912792801856995
32,0.12115176446428619,0.10078417509794235,0.8950470089912415
33,0.12806685167105542,0.1293107271194458,0.8653404712677002
34,0.11767811132306905,0.10885671526193619,0.8866405487060547
35,0.12282279579295326,0.14023014903068542,0.8539693355560303
36,0.11991070658352572,0.1233615130186081,0.8715357780456543
37,0.12248316768211187,0.11826429516077042,0.8768438100814819
38,0.12063312415302414,0.10385681688785553,0.8918472528457642
39,0.11493703961065135,0.10205018520355225,0.8937286138534546
