epoch,train,val,val_r2
1,0.9757769249149204,0.7629010081291199,0.04162114858627319
2,0.8922162102055304,0.7168546319007874,0.09946590662002563
3,0.8737492054393611,0.7600352764129639,0.045221149921417236
4,0.8506155607012129,0.6893576979637146,0.13400840759277344
5,0.7913129864279757,0.6481584906578064,0.18576407432556152
6,0.8376821800298297,0.6447058916091919,0.19010138511657715
7,0.775464226443743,0.7220972776412964,0.0928800106048584
8,0.8660421555804223,0.7504808902740479,0.057223618030548096
9,0.7904578438124705,0.6609106063842773,0.16974449157714844
10,0.7600301736101662,0.5816267728805542,0.26934319734573364
11,0.7172475302035046,0.6189135909080505,0.22250235080718994
12,0.7448731439629781,0.5617005825042725,0.29437506198883057
13,0.6953705464748993,0.5947138071060181,0.2529028654098511
14,0.7027127573785094,0.5673589110374451,0.28726691007614136
15,0.6524572698111387,0.5130509734153748,0.35549014806747437
16,0.6821294280978822,0.5715420246124268,0.2820119857788086
17,0.6915239585736364,0.5319937467575073,0.3316936492919922
18,0.6582765298098633,0.5934448838233948,0.2544969320297241
19,0.6425948351928868,0.5114561319351196,0.35749363899230957
20,0.6425704562786928,0.5080972909927368,0.361713171005249
21,0.6016379388951764,0.4607250988483429,0.4212234616279602
22,0.6032876924602026,0.4854564666748047,0.39015519618988037
23,0.5857767458121801,0.43458786606788635,0.45405781269073486
24,0.553886918523877,0.46603167057037354,0.41455721855163574
25,0.5150613633474124,0.5109428763389587,0.35813838243484497
26,0.5175489849343742,0.38511741161346436,0.5162041187286377
27,0.485662434672572,0.399968683719635,0.497547447681427
28,0.5019508690102813,0.4439854621887207,0.4422522783279419
29,0.5371816182105812,0.40892913937568665,0.4862911105155945
30,0.5302502366992616,0.4303849935531616,0.45933759212493896
31,0.45191057387393774,0.46382081508636475,0.41733455657958984
32,0.4582301303744316,0.4545519948005676,0.4289783239364624
33,0.4026984709900679,0.308559387922287,0.6123785376548767
34,0.40193563584507125,0.3481366038322449,0.5626604557037354
35,0.41831862020123867,0.3828199505805969,0.5190902352333069
36,0.41814817603408677,0.38965290784835815,0.5105064511299133
37,0.39584649484796625,0.31500086188316345,0.6042865514755249
38,0.37059831703753815,0.2934003472328186,0.6314218044281006
39,0.3862808438920483,0.3871665298938751,0.5136299133300781
40,0.3559458175117208,0.3277161717414856,0.5883132219314575
41,0.3559690812967487,0.30484703183174133,0.617042064666748
42,0.32731547782716064,0.30219075083732605,0.6203790307044983
43,0.3482443692988342,0.32335811853408813,0.5937879085540771
44,0.34802549378466363,0.2942936420440674,0.6302995681762695
45,0.2999764111699517,0.2948964238166809,0.629542350769043
46,0.31910144322618994,0.3026581406593323,0.6197918653488159
47,0.2946557676054768,0.2656678855419159,0.6662601232528687
48,0.3044115391742323,0.3705510199069977,0.5345028638839722
49,0.3245991572123213,0.2843892574310303,0.6427417993545532
50,0.2845494270939188,0.3308548629283905,0.5843703150749207
51,0.29515166772702306,0.29259103536605835,0.6324384212493896
52,0.2686772785082306,0.2875638008117676,0.6387537717819214
53,0.25985096694575144,0.25843188166618347,0.6753501892089844
54,0.24027433215650087,0.2695934772491455,0.6613286733627319
55,0.24239731380312712,0.2805793285369873,0.6475279331207275
56,0.24490167423314654,0.2766144275665283,0.6525087356567383
57,0.22148305899703624,0.32731515169143677,0.5888170003890991
58,0.2163720474645649,0.2704024314880371,0.6603124141693115
59,0.21650026039671652,0.2618227005004883,0.6710906028747559
60,0.20296544389626414,0.23766440153121948,0.7014389038085938
61,0.20664020620056034,0.251987487077713,0.6834458112716675
62,0.19323776170765003,0.2705918848514557,0.6600744724273682
63,0.1863491979149199,0.257826030254364,0.6761112809181213
64,0.17917037674600317,0.272661954164505,0.6574739217758179
65,0.1889971000017579,0.269880086183548,0.6609686613082886
66,0.1658681968668687,0.2550484836101532,0.6796005368232727
67,0.18127484777078187,0.2629607617855072,0.6696608662605286
68,0.1644439647339054,0.2697615325450897,0.6611175537109375
69,0.16410646026896447,0.2495328038930893,0.6865295171737671
70,0.15081135713562524,0.27098026871681213,0.6595865488052368
71,0.14979721755557454,0.2841677963733673,0.64301997423172
72,0.15876361224608324,0.25658658146858215,0.6776683330535889
73,0.15373104111742728,0.2783856689929962,0.650283694267273
74,0.13697676621761518,0.27742964029312134,0.6514846682548523
75,0.14037211400639152,0.2751455008983612,0.6543540954589844
