condition,seed,n_train,n_kingdoms,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
A_bacteria_only,42,2565,1,0.8591347499558971,0.813299375573164,0.5622556851366459,0.6808049819392351,0.1680606659399486,0.9622597331094964,0.2461522500082963,0.8283833287117767,0.8111114812994147,0.820055595322905
A_bacteria_only,67,2565,1,0.8681114372455885,0.8279063460665742,0.6023347700729937,0.6985403796887442,0.2826104441802747,0.9575912539106582,0.282330508282286,0.8301703482986458,0.8114582265654916,0.8169556886548266
A_bacteria_only,93,2565,1,0.8587712798433639,0.8507861551175752,0.5666120804665971,0.681239864271693,0.194821752833647,0.9530362817745264,0.2618023378800458,0.8288340537435351,0.8225073593017411,0.8167408086932302
B_matched_multitaxon,42,2565,5,0.9143328412224314,0.8888477464687491,0.6819074962584343,0.7306593768480749,0.4367482062910951,0.9672056547892208,0.3547387086747153,0.8275935416502094,0.8088827760751973,0.8345353416571643
B_matched_multitaxon,67,2565,5,0.9101753643427356,0.8757218452032531,0.6488566271978224,0.7308667404255145,0.388007286099165,0.9636777084191144,0.416254454483128,0.8315939544161657,0.8115267984015128,0.8392347008441542
B_matched_multitaxon,93,2565,5,0.9123595237392764,0.8710398123155861,0.5655200368935746,0.660942790343152,0.2368035971326337,0.9661387151822322,0.3311092041836566,0.8271395303057968,0.8078244370936833,0.8319823739842754
C_full_bender,42,8323,5,0.945015232564377,0.9234395463761056,0.8586826598205388,0.8377838630374637,0.765968910622705,0.9705479556626108,0.3915097278080029,0.8475384482466335,0.8242637586494833,0.8402472508724556
C_full_bender,67,8323,5,0.932256921126998,0.9152718793024692,0.8779759827365543,0.8539099362819079,0.7878874618665014,0.9809740194462828,0.4408572375371868,0.8576974260763932,0.8440191411305741,0.8448747174702202
C_full_bender,93,8323,5,0.944485312576194,0.934157324699877,0.9011415856919736,0.8633573047252365,0.8204559943357299,0.980537619372738,0.4259028797607259,0.8609348174604283,0.8442389992992207,0.8419132932016843
