n_train,seed,nu_r2,rg_r2,A0_r2
500,67,0.09686485337218786,0.7691535810257624,
1000,67,-0.23433375995428563,0.8335144169032138,
2000,67,0.39109240706836645,0.8861064370898706,
5000,67,0.8678185306783412,0.9370207937396006,
