condition,seed,n_train,n_kingdoms,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
A_bacteria_only,42,2565,1,0.8591347499558971,0.813299375573164,0.5622556851366459,0.6808049819392351,0.16806066593994862,0.9622597331094964,0.24615225000829632,0.8283833287117767,0.8111114812994147,0.820055595322905
B_matched_multitaxon,42,2565,5,0.9143328412224314,0.8888477464687491,0.6819074962584343,0.7306593768480749,0.4367482062910951,0.9672056547892208,0.35473870867471535,0.8275935416502094,0.8088827760751973,0.8345353416571643
C_full_bender,42,8323,5,0.945015232564377,0.9234395463761055,0.8586826598205388,0.8377838630374637,0.765968910622705,0.9705479556626109,0.39150972780800297,0.8475384482466335,0.8242637586494833,0.8402472508724556
