epoch,train,val,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
1,0.7386323430321433,0.5728802680969238,0.7436299500620931,0.6398174999870423,0.10073058928141498,0.125651649313975,0.09533581744967001,0.8616249844885576,-0.011151178943904494,0.16519047097594353,0.27213823489088085,0.7077299321499233
2,0.6325404345989227,0.5713716149330139,0.7110769717535877,0.6325989420310175,0.09262015097800802,0.15635316306715275,0.12560392546457422,0.7749909720325863,0.03255259744283168,0.16526369539713037,0.2656011697861862,0.7313388930751538
3,0.5955054814165289,0.5464733242988586,0.7696531521409142,0.6845618610989928,0.10142913272859899,0.12602160215464886,0.12755315005916856,0.8906489816017721,0.028800858592251122,0.19620470696981585,0.29518082090271125,0.7934617356941411
4,0.5923427018252286,0.5230047702789307,0.7538541466094071,0.6518069367200767,0.11291619875137238,0.18068519598657873,0.13103617600795092,0.8948904425187668,0.049182276611689946,0.3094129021433064,0.40624623280470296,0.7804156754354243
5,0.5342931286855177,0.9619156122207642,0.6348283644685264,0.5765493194760697,0.020480576045121546,-0.13192070893308916,0.13164029388681264,0.7771782471838089,-0.25682922855793655,-1.8280562285782258,-1.5653099915911515,0.7830676275938737
6,0.676358084787022,0.5503843426704407,0.671199088036434,0.569539768840332,0.10838848467823714,0.17414910846674447,0.13984498305760973,0.8157067313397427,0.09883112621207357,0.23333221012719818,0.3222474923691714,0.76526568730111
7,0.5434599139473655,0.4999070167541504,0.7783959590553333,0.6543093647192733,0.10537210786381701,0.13106225723406628,0.12620643988797653,0.9054321083236785,0.08326266819871775,0.46533853982750817,0.5353264138426954,0.7657759658699151
8,0.4687127457423644,0.4608076810836792,0.776556684912409,0.7047958042873161,0.14377873327029744,0.21146835300310962,0.1285649945922317,0.8691765697642726,0.12030756821978628,0.6315700935913348,0.6745338734054559,0.7304310774773397
9,0.4869910180568695,0.44717493653297424,0.7614321475858687,0.6645941525450246,0.14145209426522387,0.22487189083430703,0.13343693365989595,0.887506702942773,0.20482159850803738,0.65858400817536,0.6873994747289668,0.7512051290431243
10,0.4514665061777288,0.4428960084915161,0.8041156923574962,0.707770921762376,0.1218303465690479,0.1754617144260927,0.144388213756109,0.922830454225858,0.2504472537313356,0.626143548377849,0.6425319756036476,0.7794686912652193
11,0.4253279675136913,0.438446968793869,0.7731302075913832,0.6856419665393012,0.095919812964124,0.18094046725666268,0.1152590722230844,0.9183888319756142,0.265381016611032,0.6998593831912996,0.7228342685053815,0.7615807399849197
12,0.4231657792221416,0.4079782962799072,0.7938571436662807,0.7068750571997118,0.15593157239184707,0.23001753915039658,0.15459991605625512,0.923411999563535,0.33154729180644593,0.7184778910849491,0.7493306322048567,0.7839451634871537
13,0.4087494977495887,0.4069581925868988,0.8059655292257959,0.7189812420925386,0.16408693059460222,0.24166133808328227,0.15375688331395154,0.9160682378278608,0.32759038854029543,0.7122636649407229,0.7454540318553522,0.775372170182649
14,0.41075732626698236,0.4184670150279999,0.7757965040099958,0.6912441580605855,0.15492215648986862,0.22611308615264236,0.14085669931423606,0.9075036935068712,0.3161570498392009,0.7063868543373109,0.730348098156463,0.7739243079010129
15,0.40651081231507386,0.4041312038898468,0.7961982683539806,0.7143698377505301,0.15083143612738992,0.22334146064833293,0.14107342235412068,0.9140521419890812,0.4018946487770144,0.7093761279316113,0.7405914431352969,0.7792750546330567
16,0.39672694964842364,0.38690677285194397,0.8074883314486546,0.7330831694507612,0.1822376909168374,0.2595215095167117,0.17026984487821928,0.9296807094649334,0.41914329537261785,0.7191666866469009,0.7476354342430152,0.7966088905178184
17,0.4159228124401786,0.4085546135902405,0.7721688319199147,0.6774895712747229,0.17688252554640338,0.21765810979980016,0.17810387928503502,0.9150679499125748,0.3991190606194621,0.6760191964625556,0.7019549895317252,0.7931218164344779
18,0.39995861053466797,0.4504021108150482,0.7604752056509776,0.6902157680598808,0.12863498680579444,0.21284034082933656,0.11170453216081533,0.8856151753671294,0.34502241550368296,0.5306100436691705,0.6141051103446423,0.752121034150175
19,0.3968416398221796,0.4531141519546509,0.7479762041731708,0.6521168224407926,0.12039642089866354,0.12384374089028505,0.2035242283406018,0.9028274342448726,0.27528660811600136,0.6156967886880917,0.6142218813963876,0.780575435249262
20,0.39121278714049945,0.4607847332954407,0.7659356689414244,0.6650002926104108,0.20964317660627252,0.28974824047907033,0.1424122435244528,0.9087572764602174,0.3416194092111928,0.3410194783443192,0.47014670876681386,0.7449918423855157
21,0.3939110961827365,0.4726055860519409,0.7180934716620779,0.6070329446588254,0.08481779853514293,0.043648012596481434,0.24009462183112174,0.8809967185685752,0.33454560307325776,0.525828586166229,0.5657184340561809,0.7878767289248549
22,0.39168345115401526,0.3687465786933899,0.8150081536043977,0.7428988930603639,0.26390323830144946,0.30304890779844296,0.28339516685202804,0.9215219857201987,0.46708866999484466,0.661492119302814,0.6928560713197622,0.7949107330650181
23,0.3629362176765095,0.41124001145362854,0.759869367217233,0.7067438449935068,0.34607839804293505,0.30975432344647147,0.3444076091532611,0.9055202194497266,0.4024874190083617,0.3431022271242894,0.5331925717983792,0.779569554335919
24,0.357690231366591,0.38516730070114136,0.7505487028452841,0.6854736879021355,0.4131823742342492,0.32739302392084524,0.5151044221507737,0.8936316890640561,0.15421612874022672,0.6547200267497405,0.6750032635684778,0.7497051965409668
25,0.3260808309370821,0.3270854353904724,0.8095266952672171,0.7469782535467919,0.4540984392287586,0.34385105394944926,0.546422825560656,0.918864109903669,0.45527716210212166,0.6775630005425161,0.694934122038752,0.7659238152403114
26,0.3188263922929764,0.3857439458370209,0.7226913868967821,0.6432083385710201,0.22406809321743426,0.2180025899423078,0.3508576049457912,0.90913852439882,0.4779208816531567,0.6714605550412521,0.722955267143202,0.7926475249907552
27,0.3428953777660023,0.3274904191493988,0.8166287774691369,0.7661093039480287,0.46369023103672535,0.41531405550848355,0.5028485706928401,0.9136030142118419,0.4428061233833279,0.6159120879264928,0.6812088795194393,0.7834084581223641
28,0.3135787289250981,0.4177345931529999,0.755271992227742,0.6078403047942705,0.2284243760121638,0.17705168976547225,0.45689257515482706,0.7918368396590356,0.5172877545953385,0.4764117571206493,0.5619145033491366,0.7604471055768929
29,0.3041987432674928,0.2921481728553772,0.8410967067248711,0.7879643855966352,0.5674235428203586,0.4626913146592069,0.6544152621253472,0.9290819050277183,0.39914450664079826,0.6737500170102364,0.7126724967214995,0.7962777801901498
30,0.29726717282425275,0.42337992787361145,0.7563787683781433,0.6777057181371012,0.06023123159140498,0.37887242162432155,-0.17544252805099725,0.9023813594445902,0.4502289437696263,0.721330468292972,0.7445956717462399,0.7813707810892108
31,0.3479605588045987,0.36289113759994507,0.8073475696268971,0.7311012436639717,0.26731720638379763,0.3635935380339045,0.32169151979898347,0.8588821355640776,0.46872167545634913,0.6877820841226805,0.7320661314885444,0.7599509596684934
32,0.29531964930621063,0.26331162452697754,0.8668736221884799,0.8180077081900604,0.5547821579944835,0.47267617690960084,0.6140475012777955,0.931605152214148,0.5632182925908821,0.7462593660839815,0.7685640991085505,0.7824260303909385
33,0.28926323083314026,0.2820453941822052,0.8471054816484291,0.7959752477625553,0.5125665926363241,0.4304447293614937,0.5783904039478076,0.9353058280122812,0.513693950091206,0.7457653604424612,0.7729911824085203,0.7883310204158998
34,0.2602152770215815,0.2975955009460449,0.8885816901434184,0.8348030000578623,0.5037962330820709,0.4944461897961657,0.4424297917408737,0.9239461854898654,0.3862238902461467,0.7362206381412226,0.77708492695189,0.7935073790713558
35,0.253261996941133,0.28617075085639954,0.8134575194384864,0.7633149685569055,0.5585941353338977,0.4951849524718265,0.589735845465036,0.8751291009559997,0.5625547711526093,0.6845148817297337,0.73624598107103,0.7431143728070273
36,0.3359394832090898,0.27844148874282837,0.8558964262742592,0.8095986223422128,0.4786633822010983,0.49918013834958697,0.4784740914951836,0.9356988584009505,0.5880701821927006,0.7218550273102352,0.7538640457000525,0.8108361310352928
37,0.23433566432107578,0.23184193670749664,0.8744619530260008,0.8397398454441584,0.6327997748433185,0.5589706841902986,0.6620581325723001,0.9305445616258761,0.6313785828069598,0.7481768415132993,0.7842768835722419,0.7848093660786485
38,0.23041654852303592,0.3036152124404907,0.885692887213547,0.8291429523509268,0.37904308353396265,0.4624262461975207,0.2380824135060845,0.9268183734854839,0.6189202905730236,0.7286942692495519,0.7674119698079589,0.8109155553077981
39,0.23592501065947794,0.23590591549873352,0.8637906569918977,0.8278388946421198,0.6201423113686073,0.5288422789314382,0.653369937442293,0.9365540533737532,0.6118629398418751,0.7645186207112064,0.8026085935552175,0.8008021339934355
40,0.22056434777649966,0.23993374407291412,0.8733871910617681,0.8488654842204645,0.6498343927037095,0.5675120391157683,0.6538070073314004,0.8923102858008716,0.6104157560638551,0.7200280456014372,0.7788750854645886,0.7575036433168209
41,0.1998737332495776,0.33052605390548706,0.8787613362075467,0.8375701644973481,0.3591766728624286,0.3681386185047689,0.11230396794973574,0.9224206749844959,0.5652048193451193,0.7440583404236828,0.7770397846596697,0.799658907281966
42,0.20634240386160937,0.23861421644687653,0.8917211575376435,0.8695521964524433,0.6125412067626484,0.5821496693013894,0.5838108851281127,0.9430456390971252,0.5608761318668637,0.7536828967841269,0.8017029293200966,0.7988186694619055
43,0.2003429518504576,0.22416959702968597,0.9109383038476624,0.8856967634495655,0.655488949760618,0.59464604161905,0.656448700200666,0.926881354954407,0.5627966022520605,0.7743099732310619,0.8064858024208995,0.7919636097424654
44,0.19410209086808292,0.30624523758888245,0.8643645650706275,0.8112402546176181,0.42051278907453293,0.22919909264970328,0.5938993137725447,0.9469935592561464,0.5726052923030855,0.6855458880600817,0.7317155781295543,0.8072911194391587
45,0.2109683630141345,0.2562801241874695,0.9263053926457859,0.9040191404835215,0.6128766848446912,0.5577507705492772,0.5655066072628866,0.9523826971417136,0.6119665783881844,0.574633408091544,0.663283978614705,0.8113941792752424
46,0.1937840391289104,0.22758011519908905,0.9091900703377356,0.8849651453474455,0.6666380854984066,0.6049150496403336,0.6746837087900486,0.9169854320444097,0.597259810920223,0.7010817126221379,0.7559222716025229,0.7954267190543716
47,0.18685629828409714,0.2542346119880676,0.9043732253876671,0.8793412485084307,0.5924231944960678,0.5369771048342519,0.5631461284120802,0.9435051929182344,0.4623706396107943,0.7638562313011428,0.791277525909105,0.8237997454459199
48,0.18494694205847653,0.19490841031074524,0.9212306644375664,0.8968111716151839,0.7174223445847753,0.6633172790021477,0.7469858404621889,0.9370313978015309,0.5802994743191312,0.7998048536776033,0.8217364348613645,0.8072423106018078
49,0.17664546858180652,0.20002533495426178,0.9386010104299668,0.9147731219989829,0.6755106573298366,0.6230889489204077,0.6714608595240992,0.9578445196903765,0.5876259096836525,0.8195527996677803,0.8356651139469651,0.8234124082329051
50,0.1658612069758502,0.2425728142261505,0.91800649031974,0.8878754705532165,0.5768649421365248,0.5384818990355331,0.557906517007589,0.9386851503473217,0.5422492686617693,0.7971624240783495,0.820718163106239,0.7987893010261986
51,0.1618815924633633,0.22087295353412628,0.9182271246018978,0.8857893000534058,0.6356117271033848,0.6322944990076756,0.5576895694839399,0.9484633890745359,0.5816896627652286,0.7941654716398803,0.8318973419117311,0.8110611664740578
