epoch,train,val,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
1,1.0500015682644315,0.568854570388794,0.6980818136096579,0.6201714675416807,0.0829446828431597,0.1269701314645446,0.0756258101763424,0.8092362051097751,-0.09600346034334972,0.010667882139478335,-0.037371028022273434,0.7078199481186085
2,0.6192499349514643,0.5150462985038757,0.7588534151579996,0.6319685007813965,0.0956434523590548,0.15387576223746346,0.11839296366242591,0.8805598234525989,0.02225548108854003,0.04005197633589297,0.1257246126453786,0.8452806255223941
3,0.6014591488573287,0.5079671144485474,0.7911591886961231,0.681390916595966,0.1179790036239079,0.17961001890857708,0.1342099547536847,0.8985856116962294,-0.056432090029019166,0.021210142295757684,0.08282844105493326,0.8433573598506261
4,0.584464356303215,0.4993218779563904,0.8288216942796265,0.7263563413439136,0.1146351775526201,0.1855223520527185,0.05956665074898515,0.9048240047554811,-0.06445858626727419,0.08731026549412602,0.16457230892544883,0.8589157894827896
5,0.5747125248114268,0.5169528722763062,0.7205111190848447,0.6828318657695327,0.0840434760362595,0.1267405665019239,0.10942247014352624,0.9124833977083358,-0.09776344911961177,0.06320668327054979,0.1795114199329032,0.8442936838019086
6,0.8342032962375217,0.4730140268802643,0.7963813756739624,0.6977553470161246,0.14393845345644563,0.23233988087633917,0.08756979787324493,0.9286054908269574,-0.18707527443829042,0.3619641196932235,0.33400726018023086,0.8315953105354925
7,0.8860946562555101,0.4881511628627777,0.8391961610378482,0.7292894316159726,0.11527278777262384,0.20804521658490005,0.10797715893937809,0.8938461859148404,-0.15774200204658295,0.15127487864086664,0.26653600926325094,0.8357195823597251
8,0.5202309323681725,0.49808698892593384,0.8368611519481461,0.7365699772917613,0.04919233863720052,0.14570050485796615,0.12064452204602216,0.9069908780853637,-0.09036102319857364,0.11310443333938003,0.21845015254365607,0.8464112954174193
9,0.8335799839761522,0.541834831237793,0.5767000929491481,0.5244180306252366,0.18006504161828885,0.2527396552253873,0.13422485164280118,0.7775259854781005,-0.3003739654490263,0.10939346464508948,0.1846808952423532,0.805912231646198
10,0.5054061379697588,0.5743541121482849,0.8005962940990932,0.6839301160596489,0.20592491523705825,0.18431735931118032,0.170659450231042,0.8978261698376443,-1.555380508458474,0.229516318488572,-0.10520660854605435,0.7818896137142735
11,0.45909660599297947,0.5790448188781738,0.7006083024947263,0.6144567925106691,0.2331628100284765,0.25152564879058736,0.1774080539606362,0.9216521801950374,-1.412965649183604,-0.10153353588105629,-0.05977591671001581,0.8475570153830769
12,0.5251438783274757,0.43554753065109253,0.8604393361955304,0.7748862861732023,0.18835704544869347,0.27537125250781624,0.14653105907632857,0.9063611343811686,-0.2284226004061638,0.46100677843661875,0.4631266311077129,0.8396893909273908
13,0.4577920287847519,0.49114853143692017,0.60825202186315,0.4721589799118593,0.2359514814337984,0.32282676404414634,0.18210282734326755,0.8895314369024481,-0.5775709112794252,0.42150887454284436,0.43573464691200303,0.8314506202994757
14,0.437136698100302,0.4443586766719818,0.8133907053606585,0.7358795920762922,0.18314246101126086,0.2505212310252335,0.14509895477807777,0.8976590053899255,-0.1703099776212973,0.4913132559955662,0.45088408747158815,0.8205519497198632
15,0.47396666473812527,0.480622798204422,0.7231739016034877,0.6392202509994149,0.22366752323863548,0.32708313556811,0.15876803978984455,0.894504625625717,-0.48303837112442816,0.36577291451664395,0.33795763493723185,0.7865846451791991
16,0.39897462642855114,0.41577064990997314,0.8813184079205232,0.7917422861114294,0.2554779393404675,0.3734390171287315,0.14365883870752894,0.9303277152641763,-0.1446370550918552,0.3993245417473319,0.4184676595296818,0.8494514192105309
17,0.3913839989238315,0.46620073914527893,0.7140762543038349,0.5734580126477162,0.2146057806886934,0.3456297433052137,0.19337714354161306,0.9130990625502619,-0.5706767012248148,0.44162753674692723,0.46147587583481353,0.8436654290812552
18,0.4095439712206523,0.436626672744751,0.8314560626002159,0.7294134591105528,0.14464370179852326,0.2303791183763606,0.13698747347024431,0.9128568634278924,-0.039033036827074596,0.49152175667910813,0.4942777646235714,0.8467026095377684
19,0.4325438025924895,0.40523913502693176,0.7749149629810519,0.6765495391040885,0.2658803907732423,0.3761135666897061,0.19009043914033885,0.9218340174715284,-0.12255410708879766,0.5936922437059604,0.5806244035736359,0.8449334356334819
20,0.39480386508835685,0.414852112531662,0.8216917745000731,0.7298599769116025,0.26868042476887855,0.36517979435434567,0.15407051236048563,0.8883105016324002,-0.15996132231617688,0.6045703756924542,0.5621454105755687,0.777556793632809
21,0.644771976603402,0.3998105823993683,0.875895407585379,0.7905887268987489,0.20103239881562995,0.2969095131589309,0.13918964678866041,0.9362807399012271,-0.07871420779986082,0.6288631223555832,0.6167685911157321,0.8456659359066677
