model,rg,ree,nu,delta,a0
IDP-ESM2-8M,0.9599963426589966,0.940394401550293,0.6194244623184204,0.6673233509063721,0.39728593826293945
IDP-ESM2-150M,0.9631982445716858,0.94069904088974,0.467276394367218,0.5080419182777405,0.061933696269989014
