model,rg,ree,nu,delta,a0
IDP-ESM2-8M,0.9015622735023499,0.8802520632743835,0.5636898279190063,0.6294577717781067,0.4224247336387634
IDP-ESM2-150M,0.9181582927703857,0.8861931562423706,0.4296199083328247,0.4345937967300415,0.3571661710739136
