model,rg,ree,nu,delta,a0
IDP-ESM2-8M,0.935200572013855,0.9162085652351379,0.737793505191803,0.7199132442474365,0.7055622339248657
IDP-ESM2-150M,0.9412091970443726,0.9235783815383911,0.6451357007026672,0.6153250932693481,0.6205398440361023
