target,test_r2,ood_r2
rg,0.8325571417808533,0.8299758434295654
ree,0.7730259299278259,0.697365403175354
nu,0.8254470825195312,0.8750178813934326
delta,0.7289911508560181,0.8255031108856201
a0,0.6879218816757202,0.5408346652984619
global_efficiency,0.9895951747894287,0.986636757850647
fragmentation_index,0.11481279134750366,0.23311537504196167
avg_clustering,0.8648927807807922,0.8682300448417664
transitivity,0.8589741587638855,0.8372480273246765
degree_assortativity,0.8793774843215942,0.8410362005233765
