epoch,train,val,rg,ree,nu,delta,a0
1,1.081518828868866,0.7118779420852661,0.0017042317923895434,0.036797127950458974,-0.009004431448371486,-0.040522898020454834,0.0837820613741086
2,0.921071728070577,0.7678982019424438,-0.06217945154675797,-0.1552144048950046,0.004108307915260179,-0.203343605398695,0.06131290396240663
3,0.8965726296106974,0.7274461984634399,-0.044951519647725036,0.038541880919318205,-0.02873528366781475,-0.09166793350368918,0.08692159134034194
4,0.8708440462748209,0.6971272826194763,0.007547245953388182,0.14676919982985825,-0.007826117791370546,-0.06177951508340107,0.10221436979291443
5,0.9038044611612955,0.7262327075004578,-0.04093078499511549,0.009249524337538784,-0.006760484115459375,-0.06480559568593636,0.06651590939670882
6,0.8855593800544739,0.7253164052963257,0.010890926307063786,0.10177774728647493,-0.005011321503980426,-0.23650813230745715,0.10912954709520228
7,0.8813845117886862,0.7049458622932434,0.0017307480774471085,0.12837439022888641,0.00967264262389711,-0.15332077575595893,0.13338964215447713
8,0.8608466386795044,0.7017908692359924,-0.0025966632597789197,0.07935685082756949,0.004549480466919831,-0.06879788012264254,0.12662330339467565
9,0.8659327427546183,0.6976168751716614,0.050465438111639394,0.13905168064318518,-0.005116552436041033,-0.09089754503347947,0.09541325896635999
10,0.8464556137720743,0.7203692197799683,-0.04988463096578544,0.057578835583678045,-0.0059986877069933,-0.10793202187498196,0.10909594976043424
11,0.8450896739959717,0.7158623933792114,-0.016208794328743448,0.08557563891880315,0.00819940957504961,-0.16049925684848332,0.12025660845613562
12,0.8539421558380127,0.7091827988624573,-0.003815793916799759,0.10160968387025171,0.020985544859414618,-0.14812062040424645,0.11494094622448203
13,0.8595545490582784,0.7058461904525757,-0.04460642140720883,0.05733031079472961,0.027951559779745394,-0.09436077630283157,0.14693988191725438
14,0.8490787545839945,0.6884621381759644,-0.004030243405866107,0.11754479004316154,0.033289065699633635,-0.0710032083575618,0.15115934299720246
15,0.8501458764076233,0.6851792335510254,0.0032982238670320463,0.13188517094859742,0.04863358211889035,-0.08552526326559806,0.1505476600526673
16,0.8099697033564249,0.6958991885185242,-0.04865197159189849,0.07899466422756152,0.08196073239176305,-0.12489695805181777,0.16207971026539347
17,0.8394491871198019,0.6767615079879761,-0.012379858227818508,0.07767857235054088,0.1410602283953194,-0.12266143802069274,0.1882347654895038
18,0.8023460706075033,0.6901429891586304,-0.075606973610715,0.10540859433639183,0.1430896221329535,-0.19994195212248278,0.19580591313215745
19,0.800907552242279,0.6340545415878296,-0.003069936429232367,0.12368193891906831,0.2834859933757382,-0.1057009476687929,0.23957695551876956
20,0.8082775473594666,0.6567074060440063,-0.06621912640298011,0.03448413954146523,0.27518093320526915,-0.12339480006830317,0.24068149726756782
