condition,seed,n_train,n_kingdoms,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
A_bacteria_only,93,2565,1,0.8587712798433639,0.8507861551175752,0.5666120804665971,0.681239864271693,0.194821752833647,0.9530362817745263,0.2618023378800458,0.8288340537435351,0.8225073593017411,0.8167408086932302
B_matched_multitaxon,93,2565,5,0.9123595237392765,0.8710398123155861,0.5655200368935746,0.660942790343152,0.23680359713263377,0.9661387151822322,0.33110920418365664,0.8271395303057968,0.8078244370936833,0.8319823739842754
C_full_bender,93,8323,5,0.9444853125761941,0.934157324699877,0.9011415856919737,0.8633573047252365,0.8204559943357299,0.980537619372738,0.42590287976072594,0.8609348174604283,0.8442389992992207,0.8419132932016843
