epoch,train,val,rg,ree,nu,delta,a0
1,1.0328790942827861,1.2151992321014404,0.12379611854309014,0.23216519578265915,0.000316135357897096,0.012943400464412447,-0.05700304535729939
2,0.9138861298561096,1.18409264087677,0.20992294512544662,0.2014428879738962,-0.06795619556018773,0.004381630866307162,0.03212227968107639
3,0.9080577492713928,1.1372255086898804,0.20831920592510833,0.2893571773901482,-0.025175271508285135,0.01802349954631588,0.07143266413387483
4,0.8725670576095581,1.1339024305343628,0.20104938827532792,0.2373192048379016,0.01192845495050876,0.017835175351265886,0.0774425914258936
5,0.8836805621782938,1.125628113746643,0.19066331902827494,0.24911229838568294,0.0027313243312641067,0.02387153906192241,0.09813894621808761
6,0.867334763209025,1.150840401649475,0.16744135850721853,0.2152818649284235,-0.0037216422850494535,0.01120920593290009,0.07311072979596034
7,0.8538071314493815,1.1300965547561646,0.18452500454633558,0.24861390891836332,0.03426928558815667,0.027931009549675978,0.07081738661776471
8,0.8389094074567159,1.113705039024353,0.17076558998332603,0.22376937158610255,0.07896924173365061,-0.01200019025247312,0.10687814076878599
9,0.8159484465916952,1.1483932733535767,0.16239889657691386,0.22857593456174052,0.076387935338884,-0.055680392384773736,0.05110874548035038
10,0.7859492301940918,1.22684645652771,0.16097820336522406,0.20782028839382183,-0.021394154262519338,-0.1196657796077163,-0.027668283122037396
11,0.8045742511749268,1.0933207273483276,0.16564116394748352,0.19259519216391052,0.1513027677285358,0.02487956730305807,0.10716748706360579
12,0.813085933526357,1.3244444131851196,0.1789025469414962,0.19697125354627032,-0.2468092415827403,-0.03881828213443428,-0.13238211995384574
13,0.818436324596405,1.039427399635315,0.1823734198495217,0.2525298664367873,0.19302644786338385,0.015875196115742507,0.17309646088098551
14,0.7964313427607218,1.2502260208129883,0.19351682235293322,0.24635364868677878,-0.22865314629083122,0.003781241072684849,-0.02260004072698285
15,0.8178461392720541,1.0216617584228516,0.18994939120494103,0.2751693447240804,0.1976511249422891,0.019347671779744724,0.19625083070045668
16,0.776720384756724,1.1369731426239014,0.15146724365495745,0.18955867581776675,0.0707545789074503,-0.04131406016479566,0.09155508793206546
17,0.7989057103792826,1.0138782262802124,0.17031672610707282,0.2466193361140907,0.2512099229253627,0.037220534671871475,0.19193380937692262
18,0.748703142007192,1.0456334352493286,0.16407285995177334,0.19189127836031072,0.21257069137913254,-0.00900857130349908,0.18498299078721248
19,0.7313107848167419,1.0703336000442505,0.15803191150321916,0.2268516163922527,0.2096780395569926,0.03433709713210942,0.10881063435769323
20,0.7423829237620035,1.12600576877594,0.10938185278209156,0.14088966720746843,0.12832421117917858,-0.041689232837875956,0.11336525930346819
21,0.7053415973981222,1.028324842453003,0.152474777459495,0.21602930816620936,0.22538002769711318,0.011820833879210846,0.20274969450437452
22,0.7011088927586874,1.0196864604949951,0.13779367060589476,0.20767255896692083,0.2741995229236396,0.019393419007354806,0.197753669643134
23,0.7111756006876627,1.1272578239440918,0.07958833124226827,0.05399025639991506,0.14718602277313364,-0.1923985362231624,0.19367885481762248
24,0.6978980501492819,1.1045953035354614,0.14578430924951435,0.16383058118797245,0.14364819403760365,-0.10284203799988867,0.14977321313628777
25,0.7046030163764954,1.0212070941925049,0.13188821604008238,0.1667525226503518,0.2729550725893568,-0.05816720259632313,0.23893917045742485
26,0.6764290928840637,1.0046172142028809,0.1277559218809301,0.19143032871721333,0.3050183294647406,0.01626887200991567,0.22201050757221463
27,0.685746451218923,1.1821467876434326,0.08468820035818614,0.07886800466058985,-0.011432231542188642,-0.19083722761634037,0.16006421170478802
28,0.6927438179651896,1.0242005586624146,0.12231494853079661,0.18259109069884416,0.298540614878559,-0.03513568707016845,0.207198215227392
29,0.6773406068483988,1.0027961730957031,0.14743710843680713,0.212785688696017,0.2932470108184063,-0.04024791137642336,0.23790534868490232
30,0.6671608090400696,1.0995749235153198,0.10991564267308396,0.1464044856530693,0.1228839155234367,-0.1679473809240748,0.214967234667237
31,0.6577116648356119,1.0182595252990723,0.10779620815432933,0.20128568582038486,0.30264731428705227,-0.06345458316114483,0.2260872270359806
32,0.6428433855374655,1.162347674369812,0.07840141344591312,0.12556200615788826,0.05692858002085488,-0.21902523895934034,0.15724899764487688
33,0.632465640703837,1.111436367034912,0.1033069231570628,0.17754009754549027,0.10843436093368541,-0.08891024768385947,0.16214455283819595
34,0.6219243804613749,1.1281206607818604,-0.01963078024514653,0.03688296322367535,0.21617883894302448,-0.25989817325343334,0.2168559215762923
35,0.610131045182546,1.0666686296463013,0.11870222709846978,0.20620366610425034,0.18632773124520774,-0.04578718548483529,0.1803152779450803
36,0.6241644223531088,1.1054363250732422,0.05196524291235871,0.08154720750357669,0.15687259106528106,-0.19142978475808903,0.23457485061723893
37,0.6109279195467631,1.1068978309631348,0.07108118948681375,0.14116353050000963,0.19292659113550192,-0.21010929727651195,0.18846387591704905
38,0.6138606866200765,1.1315524578094482,0.0996454648551488,0.15747156236849325,0.11908955944432731,-0.24145568359170988,0.17462667899857043
39,0.6305181980133057,1.036073088645935,0.12391782608482171,0.21832582413118984,0.23617440027486292,-0.031049540159366673,0.2044872801119112
40,0.6028001507123312,1.2118719816207886,0.03973417349728736,0.09587391710798676,0.000735586836441593,-0.2985494723327442,0.13765019064680173
41,0.6079399784406027,1.0368821620941162,0.1168728442698771,0.20606642433895384,0.2392506660669922,-0.1072181065467106,0.23446096912160908
42,0.5923285682996114,1.2344484329223633,-0.0021520693714531802,0.03515272460005603,0.017963965892299538,-0.27702943158482385,0.10850732071567426
43,0.5647705594698588,1.1637160778045654,-0.025421366586837912,0.023626558955690324,0.16345195860296413,-0.3283746214340393,0.20313498695126153
44,0.5735845565795898,1.14749014377594,0.03329207483707031,0.0729648044239608,0.08852262337075512,-0.2680549152879832,0.22235112038004956
45,0.5602315862973531,1.131635308265686,0.051195577343143395,0.10770743889969492,0.1429664939106179,-0.18314840139372301,0.17518688072515654
46,0.5439520676930746,1.1641595363616943,-0.016564504134036317,0.01944559063328366,0.16619173183704772,-0.3830310932420302,0.217869109767725
