epoch,train,val,val_r2
1,0.9972386977721736,0.8194799423217773,0.002323627471923828
2,0.9835333172807988,0.688105583190918,0.16226541996002197
3,0.9222141780804113,0.7919726967811584,0.0358123779296875
4,0.8784457872208861,0.6814771890640259,0.17033517360687256
5,0.8166925381753862,0.586700975894928,0.2857205271720886
6,0.6189180623317502,0.2812172770500183,0.6576318740844727
7,0.3660990999838741,0.31002768874168396,0.6225565671920776
8,0.3618942632810357,0.14019428193569183,0.8293203711509705
9,0.3218742570618993,0.2783401608467102,0.6611346006393433
10,0.25010103175474196,0.24233101308345795,0.7049739360809326
11,0.2661523159170888,0.2837916910648346,0.6544976234436035
12,0.23293522000312805,0.3555920422077179,0.5670841932296753
13,0.27255147549602177,0.22894810140132904,0.7212669849395752
14,0.22208355121391335,0.22573690116405487,0.7251764535903931
15,0.2660894785268405,0.15070004761219025,0.8165301084518433
16,0.2277759166492015,0.11600609123706818,0.8587683439254761
17,0.2190679141233877,0.1675231009721756,0.7960488796234131
18,0.2306090952809324,0.2252582460641861,0.7257592082023621
19,0.1935479665923979,0.10924695432186127,0.866997241973877
20,0.2039028030925805,0.19560012221336365,0.7618665099143982
21,0.22625821091465115,0.13703206181526184,0.8331702351570129
22,0.19993730158228235,0.12614256143569946,0.8464276790618896
23,0.17568838187330163,0.12124507129192352,0.8523901104927063
24,0.1778441873791906,0.11434641480445862,0.860788881778717
25,0.17527938810820431,0.10976827889680862,0.8663625717163086
26,0.16914801119068235,0.16861268877983093,0.7947223782539368
27,0.1641465418578423,0.10068361461162567,0.8774226903915405
28,0.17547538081548877,0.1100885346531868,0.865972638130188
29,0.16699683120877473,0.14622309803962708,0.8219805955886841
30,0.1647699281726916,0.16156268119812012,0.8033053874969482
31,0.16722603330446273,0.10191325098276138,0.8759256601333618
32,0.1559625248395905,0.10869196802377701,0.8676729202270508
33,0.16111223345872053,0.10559902340173721,0.8714383840560913
34,0.15933584767518585,0.10878966003656387,0.8675539493560791
35,0.15681442253522038,0.10674218833446503,0.8700466752052307
36,0.15915594451590298,0.15395227074623108,0.8125706911087036
37,0.16167416154723807,0.11513042449951172,0.8598343729972839
38,0.15194671741235502,0.10499317198991776,0.8721759915351868
39,0.14563081718827645,0.14615458250045776,0.8220640420913696
40,0.15683222800186,0.11844269186258316,0.8558018803596497
41,0.15353866482211143,0.10938920825719833,0.8668240308761597
42,0.1587394440220189,0.12778633832931519,0.8444264531135559
