epoch,train,val,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
1,0.7250009477138519,0.6547444462776184,0.7809797788265114,0.6108826651173741,0.07117942988154413,0.10296574130769698,0.042427470225338215,0.8357298735063817,0.013114326429811807,0.06686480127588623,0.17057118239587188,0.7229481855115221
2,0.6072533970529382,0.6471285820007324,0.8269862865693178,0.7174331254788024,0.0019201215981239361,0.08267712846918396,-0.036103056311990844,0.8887783552378015,0.037819648658633076,0.054530422676637436,0.16705143045847592,0.8020172317578046
3,0.6027070609006014,0.634591817855835,0.853272313267912,0.7228366426183382,0.01200944894107292,0.07509470601523505,0.0323933946119781,0.8794904671577575,0.03518603417431443,0.07373341343152917,0.22439072399834148,0.743844248218793
4,0.6369725628332659,0.6635675430297852,0.7501525158955547,0.5949644719080907,-0.04934269659550705,0.035279675808498556,0.011637986462793015,0.848096288258308,0.01404979885769142,0.1516244354313686,0.22327393861829692,0.731776442428836
5,0.589518975127827,0.6242803335189819,0.7528842384125307,0.6230235943363971,-0.031407960694847636,0.039713800228595386,0.04250079631220671,0.8327705327300494,0.031211813259906185,0.276199269517842,0.37230586423734613,0.7634603387977927
6,0.507470044222745,0.5759351849555969,0.8017744373809197,0.6530727964812901,0.09953510884502015,0.11984326948641477,0.12349000414447076,0.8958842711458925,0.017148806157649688,0.2951030615771849,0.3896693639415969,0.792358732370842
7,0.4746138019995256,0.5383248329162598,0.8660012719939016,0.7467943300910347,0.07653805649280865,0.060584314060990074,0.12319358616273479,0.9251370520720597,0.052608987498926174,0.4521643207309959,0.4816543490597025,0.8070505606719462
8,0.3821721090511842,0.49376654624938965,0.8688975485167927,0.7528349511439331,0.26048423957991795,0.1685817337247929,0.2805532367631123,0.9138666415199724,0.04325584577482666,0.45630031519438474,0.4643476733585994,0.799797500896752
9,0.3437401923266324,0.4682653546333313,0.8560504471777293,0.7372997502445183,0.2253692561506394,0.1689504919140239,0.2607986285065689,0.9327549196638901,0.10553838145593208,0.5729169100689017,0.5998384013601289,0.8080927444095324
10,0.3354038243943995,0.4646000862121582,0.8417415444876521,0.7203821543816915,0.22985049683444403,0.20424827714832716,0.2820694209669603,0.9401331406100295,0.10562000475775957,0.5670459720868348,0.5782089310976011,0.8225369182214077
11,0.32541227814826096,0.49715930223464966,0.8290229491487743,0.7134068596180064,0.2328961816795433,0.17072984300929495,0.26433486077870205,0.9276625910519608,0.0873144119851238,0.44279904044013174,0.4790850000991952,0.8188251198063566
12,0.34570841084827075,0.46068745851516724,0.8500097531909439,0.7430107850336827,0.32418011235380206,0.2467432739194635,0.3217040390999466,0.9258985565420118,0.040199628319152136,0.5403936295001954,0.5487634160612054,0.7898450097582589
13,0.42358082803812896,0.5164635181427002,0.785377602362667,0.6416412204230388,0.07358607187137434,0.12113423735012363,0.13569910897150372,0.8804091299778667,0.13065620265304922,0.602409648791639,0.6133457521045617,0.7975604529773176
14,0.35621367259459064,0.5124475359916687,0.837020449599288,0.6999082692592263,0.3052295780701255,0.21770438058479424,0.31276907638104867,0.9212029678823289,0.09745402252571311,0.3243778536462957,0.32173992729995393,0.7717208582684327
