,0
rg,2.7442244525660167
ree,6.47905678098852
nu,0.5347766478939996
delta,0.4227707408368587
a0,0.6026328217412865
global_efficiency,0.19641890301975717
fragmentation_index,0.9960211927887939
avg_clustering,0.10809967122182404
transitivity,0.149113151374333
degree_assortativity,0.29391021765245895
