target,R2_SeqDance,R2_KESTREL,ES_OOD
nu,0.8975631613453141,0.8674,1.034774223363286
delta,0.8634146570141843,-0.6881,-1.2547807833369922
a0,0.757863701535423,0.7369,1.0284485025585874
rg,0.9653236629938317,0.9444,1.022155509311554
