epoch,train,val,rg,ree,nu,delta,a0,global_efficiency,fragmentation_index,avg_clustering,transitivity,degree_assortativity
1,1.0786847376823425,0.9019169211387634,0.20305998403751468,0.23384928496828206,0.27895862016793815,0.2939597561207895,0.28815317023689624,0.11303400591545154,0.03286152427115441,0.1098427342298266,0.06233113388191125,0.07886600269552213
2,0.9852196884155273,0.838855504989624,0.22731539939552692,0.25077475995714293,0.43143039509856973,0.3568405580687799,0.45275684683130535,0.13366518543413042,0.0436062370204543,0.12467303195612833,0.07681326613711925,0.10271805043069981
3,0.9921680974960327,0.8147006630897522,0.22118129958037125,0.25012034591073073,0.459982821684116,0.36843466900408806,0.5429314541686936,0.1461016578373343,0.039167515530683095,0.1532432694065461,0.09345332789209393,0.10900116305593976
4,0.9290106725692749,0.8029477596282959,0.22243070391348296,0.2475668415635055,0.4774894268170091,0.38441856575924127,0.5514860686400087,0.14651244295983568,0.03941673874230389,0.1765244697361943,0.1205982591030883,0.12480499814043444
5,0.9455489182472229,0.7878373861312866,0.22847722325840658,0.2555291783946092,0.5051187708930689,0.39774581851744073,0.556083334090421,0.16250947247384828,0.04159590107809097,0.2074933691741393,0.1455576139685999,0.13355558273801804
6,0.8154862737655639,0.7733474373817444,0.21649075043761623,0.24642565707897868,0.5180739230900197,0.4118056165063422,0.5919485035988894,0.16194590107779772,0.04367569266959448,0.24434029376082034,0.1798727080202912,0.13781830745934964
7,0.8476799845695495,0.7746991515159607,0.22838427734937627,0.26723297123738454,0.5027181281628297,0.38997284793904385,0.584777296603695,0.16767070760028469,0.03642813764001607,0.2439319590856066,0.18046750350158514,0.1471813498256347
8,0.8049846410751342,0.7608350515365601,0.23350100742314706,0.26194901446952146,0.5204040480187078,0.4145602593694151,0.5877580243374232,0.1800960139454113,0.04620566489425937,0.2817861772471756,0.19857269276016198,0.15415300144728306
9,0.7578073120117188,0.7605389952659607,0.23195889776728074,0.2671838371321289,0.523200080576048,0.4213873407407934,0.5786710363342098,0.18002005329680182,0.03618376178177496,0.28916925444817976,0.20395233404233815,0.15599651409658344
10,0.7796598076820374,0.7504546642303467,0.24951989640916195,0.27468486837701145,0.5286764454113361,0.4220367129550162,0.5816021231249469,0.1929207034523268,0.0474450639055376,0.3009081108802659,0.22035700931032987,0.16635677230958568
11,0.7671675944328308,0.7416383028030396,0.25374381746688246,0.2843449436191181,0.5488553404101547,0.43601281902270106,0.5854843243935384,0.20083743862904946,0.050352783454290284,0.3118550288641919,0.2255042151733243,0.16913377597749313
12,0.7837881934642792,0.7387409210205078,0.2684603906387125,0.2943865019309342,0.529024581753208,0.4330798582530857,0.580779715707427,0.21472872258497133,0.052917795119099664,0.3148562612482325,0.23474734782498574,0.17801872670654295
13,0.7743951869010925,0.73033207654953,0.27325758819573676,0.30070904921271546,0.5591563240558224,0.44015586563991616,0.5865286560267837,0.21934565169725107,0.057443007242745425,0.3240161948940429,0.23304139765687215,0.1826333368201699
14,0.7403952002525329,0.7254093885421753,0.2749124546115813,0.308410861020603,0.5491187725498698,0.4429075062684369,0.5844703912864686,0.22576110250207526,0.058606025814341045,0.33733453161760174,0.2539713024189222,0.191850122934622
15,0.7338337254524231,0.7259780764579773,0.28961590309465834,0.3181916494548577,0.5355010015392252,0.4346664465522877,0.566211434178541,0.24006812553584267,0.0584322135717269,0.33742607521139123,0.2577227308716419,0.19772671778444273
16,0.7296533262729645,0.7184820175170898,0.2981457126058963,0.32778222687200553,0.5423890340435473,0.43795759984920046,0.561655249166622,0.249415688830681,0.06367220257515893,0.35093487913780885,0.27113028614882895,0.20803856067072235
17,0.7151124083995819,0.7143967151641846,0.30101085692423046,0.3251574291012904,0.5435202182787076,0.43349868850540973,0.5663541924459667,0.25643111867162427,0.06680802472437808,0.35727329162272115,0.2806957841279287,0.21768090429582143
18,0.7533979988098145,0.7017993927001953,0.3056392495221365,0.33287968624699615,0.5625203303892388,0.45273445005593027,0.5865986874425874,0.2676498616707207,0.06539716789927008,0.3733538345971369,0.2918030597137822,0.21986542248871555
19,0.7390650010108948,0.6960697174072266,0.3127315754340765,0.3377735492340128,0.5599469656428656,0.45039263297607735,0.589825698145364,0.27640106310318324,0.06927615856949931,0.37911688067803007,0.3047504813930235,0.2333671593011326
20,0.7170590376853943,0.6899886727333069,0.31862030960572174,0.34111287279286906,0.5626152515611749,0.4586824326729174,0.5881383303652263,0.28689432686411,0.07078880981558056,0.3862780078450352,0.31566267586528385,0.2451197272951342
21,0.7135550498962402,0.6962289214134216,0.32004817668778873,0.3333230766569655,0.5393476906611343,0.43847554090636653,0.5588849401309125,0.291602314393667,0.07501632519380874,0.3931879789601256,0.3289911735892711,0.25335857043771215
22,0.7114129972457885,0.6832042932510376,0.32792946973872716,0.3522533374056198,0.554983796438249,0.45229764346091805,0.5742272609790191,0.30013506998571826,0.0826782596894442,0.4085624350471092,0.3397260710144243,0.25663837854204885
