n_train,seed,target,r2_ood
500,93,nu,0.20656190225582138
500,93,rg,0.8091283837729483
500,93,A0,
1000,93,nu,0.14916211510665534
1000,93,rg,0.7881974073639314
1000,93,A0,
2000,93,nu,0.6521196146137951
2000,93,rg,0.8944853522863755
2000,93,A0,
5000,93,nu,0.8663754460424817
5000,93,rg,0.910680939285696
5000,93,A0,
