target,test_r2,ood_r2
rg,0.8532004356384277,0.7757046222686768
ree,0.8306647539138794,0.6964341402053833
nu,0.8315327167510986,0.8841989636421204
delta,0.75186687707901,0.8270434141159058
a0,0.7317132353782654,0.6970463991165161
global_efficiency,0.989299476146698,0.9852843284606934
fragmentation_index,0.12072354555130005,0.07364469766616821
avg_clustering,0.8633258938789368,0.8637377023696899
transitivity,0.8576707243919373,0.8542486429214478
degree_assortativity,0.876379132270813,0.8481400012969971
