seed,split,rg,ree,nu,delta,a0
42,bender_test,0.96595960855484,0.9293462634086608,0.6273272037506104,0.6563341617584229,0.3997882604598999
42,ood_viruses,0.930509865283966,0.9131265878677368,0.7771580815315247,0.7535482048988342,0.6483848690986633
67,bender_test,0.9591609239578248,0.9399744868278505,0.6998651027679443,0.6485041379928589,0.5995461940765381
67,ood_viruses,0.9262412786483764,0.90592360496521,0.761975884437561,0.7378409504890442,0.6161457300186157
93,bender_test,0.9659259915351868,0.9396780729293824,0.6414431929588318,0.6601643562316895,0.4985902905464172
93,ood_viruses,0.9365957379341124,0.9214799404144288,0.7835214138031006,0.766633927822113,0.6372940540313721
