model,split,rg,ree,nu,delta,a0
IDP-ESM2-8M,bender_test,-0.0734788179397583,-0.01858818531036377,0.51679927110672,-0.07757699489593506,0.44448351860046387
IDP-ESM2-8M,ood_viruses,0.08280223608016968,0.13996529579162598,0.43330079317092896,0.03874492645263672,0.4175673723220825
IDP-ESM2-150M,bender_test,-0.08297121524810791,0.019532620906829834,0.5023778676986694,-0.14448785781860352,0.4588053822517395
IDP-ESM2-150M,ood_viruses,0.04792743921279907,0.09863823652267456,0.4530465006828308,0.010518252849578857,0.4611855745315552
