n_train,seed,a0_r2
500,42,0.3102438902082196
500,67,0.217203008358703
500,93,0.1893388387842322
1000,42,0.5021420696405519
1000,67,-0.4514830599104493
1000,93,0.1001747679935772
2000,42,0.2548542526576358
2000,67,0.1084188983210421
2000,93,0.3938416709859785
5000,42,0.6379637012295603
5000,67,0.7400009296970698
5000,93,0.7589842143715158
